ARTICLE.TITLE	Test.statistic	N	ES.metric	ES.value	p.value	r	Replication..Statistic	Power	N.1	ES.metric.1	ES.value.1	p.value.1	r.1	direction	OSF.ID	Notes	Variance.loss	X.	X..1
1	Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.	F(1,31)=4.1	32	d	0.74	0.0516	0.341773487574909	F1(1, 90) = .97	0.935	91	η_p^2	0.011	0.33	0.103261105390926	same	https://osf.io/uhpyr/	value from final replication report; check results original study in pdf	NA		
2	Intentional forgetting is easier after two "shots" than one.	F(1,94) = 4.97	96	η^2	0.05	0.0282	0.224092029190534	F(1, 106) = 0.04	0.916	108	η_p^2	4.0E-4	0.84	0.0194220530544791	same	https://osf.io/bzdr2/	effect size is 'eta^2' in original study, but 'partial eta^2' in the replication; no report of original study	NA		
3	A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.	F(1, 90) = 6.98	94	η^2	0.07	0.0097	0.268278964521451	F(1, 142) = 1.26	0.9	146	η^2	0.01	0.26	0.0937827145210083	same	https://osf.io/xse7q/	incomplete report of original study, check results original study in pdf; It was not clear to me what effect will be replicated, and actually when I look at the analysis plan it seems that a lot of different things will be replicated but it was not clear to me what exactly. Also the results in the original paper (study 4)included many seperate analyses.	NA		
4	The value of believing in free will: Encouraging a belief in determinism increases cheating.	t(28) = 3.04	30	d	0.88	0.0051	0.498149177998044	t(56)= -.77	0.91	58	d	0.2	0.44	0.102355162144048	same	https://osf.io/i29mh/	Not eligible because replication not ran as intended; again there were several different analyses, of which I thought that the cheating effect was most important, so I wrote down the test statistics of this analysis ('cheating' subsection of results of experiment 1 on p.50) They also did a mediation anlysis. so Im not sure whether I picked the right one.	NA		
5	Multidimensional visual statistical learning.	t(7)=2.892	8	d	1.023	0.0232	0.737820789760308	t(14) = 3.708	0.95	15	d	0.957	0.0020	0.703904904378789	same	https://osf.io/ujhlw/	test statistics in original paper at p 404	NA		
6	Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.	F(4.09, 159.5)=4.03	40	η_p^2	0.09	0.0040	0.306040701520685	F(5, 195)=2.54	0.95	40	η_p^2	0.061	0.03	0.247276936825489	same	https://osf.io/swrhy/	test statistics in original paper at p 25, (the interaction in the subsection: Output timing serial position functions). Strange thing about the other statistic mentioned in the replication is that it seems to focus on experiment 2 and; t(39)=2.82, p = .008, d=0.44, in the timing task (p 26) is mentioned in the replication in the confirmatory analysis part of the results, but in the power analysis part of the replication they mention t(39)=3.77,p<0.001,d=0.60, which is again the results of the time task in the original study but this time is part of experiment 1 instead of 2. So which one do they replicate? I think that most important is the interaction: F(1.63, 63.90) = 64.87, p < .001. (which is fortunately equal in the poweranalysis part and the results part of the replication paper)	NA		
7	Prescribed optimism: Is it right to be wrong about the future?	t(124)=10.36	127	d	0.93	1.0E-12	0.681152181666617	t(175) = 15.64	>.99	177	d	1.18	1.0E-12	0.763508789343672	same	https://osf.io/qlzap/	Replication N: (49 UO; 128 TU); in original paper at p 329	NA		
8	The threat of appearing prejudiced and race-based attentional biases.	F(1,26) = 4.17	30	d	0.8	0.0514	0.371775162736088	F(1, 64) = .02	0.91	66	η^2	0	0.89	0.0176749080410067	same	https://osf.io/c5fza/	test statistic original study?; in original paper at p 100 (the three way interaction), however they only gave p_rep instead of normal p value.	NA		
9	Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.	F(2, 82) = 4.05	85	η^2	0.09	0.021	0.299833472093746	F(2, 137) = 1.99	0.9	140	η^2	0.03	0.14	0.168020697371943	same	https://osf.io/j8bpa/	I guess they replicate the one way anova of experiment 2 in the original paper, p. 387, since this is also mentioned in the replication paper in the subsection 'poweranalysis and planned sample'.	NA		
10	Keeping one's distance: The influence of spatial distance cues on affect and evaluation.	F(2, 81) = 4.97	84	η^2	0.11	0.0092	0.330609795734198	F(1, 123)= 0.35	0.945	125	η^2	0.0030	0.56	-0.0532677613388653	opposite	https://osf.io/vnsqg/	in the original paper I looked at the test statistics of the ANOVA on p7	NA		
11	Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.	F(4, 108) = 3.67	57	η^2	0.12	0.0077	0.345920375842787	F(4, 150) = .58	0.95	78	η_p^2	0.02	0.68	0.123414312123735	same	https://osf.io/yuybh/	in the original paper I looked at the test statistics of the overall analysis (in study 3) on p118.	NA		
12	With a clean conscience: Cleanliness reduces the severity of moral judgments.	F(1, 41) = 7.81	44	η_p^2	0.16	0.0079	0.400010243671333	F(1, 124) = 0.001	0.99	126	d	0.02	0.97	0.00283979772046115	same	https://osf.io/apidb/	they replicated two experiments, and I looked at the one way anova in both experiments, for exp1 on p1220 and exp2 on p1221. This means there are actually also 2 effect sizes, of which only one is given in this excelsheet. The effect sizes for the two findings were partial eta-squared=.09 and .016 for resp exp 1 and 2.	NA		
13	Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.	F(1,257) = 9.39	261	η_p^2	0.042	0.0024	0.187747359265238	F(1,247) = .49	0.92	251	η_p^2	0.0020	0.49	0.0444958197459904	same	https://osf.io/2gx4k/	found the test statistics of the interaction on p208 in the subsection 'issue involvement' of the results of experiment 5A.	NA		
14	Temporal selection is suppressed, delayed, and diffused during the attentional blink.	F(18, 660)=16.31	12	η_p^2	0.308	1.0E-12	0.554861595283086	F(18, 660) = 12.98	>.95	12	η^2	0.261	1.0E-12	0.511319433208789	same	https://osf.io/rzjvn/	could not reallyfind test statistics, only thing I found was: F(18, 660) = 16.31, p < .00001. On p59. And 't(11) = 5.98, p < .0001' and 't(11) = 2.7, p < .05' which are both on p 60. So I don’t know what is replicated since I could also not find that in the replication paper.	NA		
15	Adaptive memory: The comparative value of survival processing.	F(1, 23) = 5.7	24	η_p^2	0.2	0.0256	0.445652635779262	F(1, 37) = 8.08	>.99	38	η_p^2	0.18	0.0070	0.42336380591185	same	https://osf.io/jhkpe/	found the test statistics on p179 of the original paper, but only with a MSE-value instead of a p-value..	NA		
16	Accounting for occurrences: A new view of the use of contingency information in causal judgment.	F(1, 36)=22.88	37	η_p^2	0.427	2.9E-5	0.623367432997377	F(1, 37) =6.57	>.99	38	η_p^2	0.15	0.015	0.388319236248094	same	https://osf.io/rhbqj/	Effect size info is present, but the replication does not seem to identify which is the focal finding.; there are two predictions tested (pred 1 and pred 3) and the test statistics of both predictions can be found in the original paper at p210	NA		
17	Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.	F(1, 21)=17.3	22	η_p^2	0.452	4.0E-4	0.67208416730149	F (1, 29) = 8.064	0.995	30	η_p^2	0.218	0.0080	0.466443575713517	same	https://osf.io/rvkc5/	I found the test statistics in the original paper on p73. The test statistics I wrote down are of the nearness effect. But actually they also hypothesized the distance effect of which the test statistics are: F(1, 21) = 5.2, p= .05, however the nearness effect seemed more important also as described in the replication paper. But also the distance effect is replicated in the replication paper (just as the interaction between the two).	NA		
18	An attention-based associative account of adjacent and nonadjacent dependency learning.	F(1, 20) = 20.79	24	η_p^2	0.51	2.0E-4	0.713921386439838	F(1, 20)=17.35	>.99	24	η_p^2	0.46	4.8E-4	0.681560537098199	same	https://osf.io/vmz2e/	test statistics can be found in the original paper at p 91 (exp 4b)	NA		
19	Head up, foot down: Object words orient attention to the objects' typical location.	F(1, 17) = 40.19	18	η^2	0.7	7.4E-6	0.838299012990577	F(1, 21) = 0.001	>.99	22	η_p^2	<0.001	0.97	0.00690049129796756	same	https://osf.io/vwnit/	the effects that are replicated can be found on p 94 of the original paper (exp 1). These are restults (response time & error rate) X (across participants & items)	NA		
20	Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.	F(1, 31) = 5.14	48	η_p^2	0.16	0.0305	0.377126877579717	F(1, 73) = 0.432	>.99	75	η_p^2	0.0060	0.513	0.0767006765952767	same	https://osf.io/wkgpq/	p71 in the original paper	NA		
