title	authors	doi	journal	volume	issue	pages	X.	descriptors	oldfilename	newfilename	file.location	authors.fullnames	link.to.abstract	lookup.code
1	Complement coercion is not modulated by competition: Evidence from eye movements.	S Frisson, B McElree	10.1037/0278-7393.34.1.1	JEPLMC	34	1	|1/11/2012|		Attention, Comprehension, Eye Movements, Humans, Reading, Semantics, Writing	2008.JEP LMC/34_1_1.pdf	JEPLMC/JEPLMC-34-1-1.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-1.pdf	Steven Frisson, Brian McElree	NA	JEPLMC-31-1-1
2	Context retrieval and context change in free recall: Recalling from long-term memory drives list isolation.	Y Jang, DE Huber	10.1037/0278-7393.34.1.112	JEPLMC	34	1	112-27		Association Learning, Attention, Generalization (Psychology), Humans, Mental Recall, Retention (Psychology), Semantics, Verbal Learning	2008.JEP LMC/34_1_112.pdf	JEPLMC/JEPLMC-34-1-112.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-112.pdf	Yoonhee Jang, David E Huber	NA	JEPLMC-34-1-112
3	Native language influences on word recognition in a second language: A megastudy.	K Lemhöfer, T Dijkstra, H Schriefers, RH Baayen, J Grainger, P Zwitserlood	10.1037/0278-7393.34.1.12	JEPLMC	34	1	|12/31/2012|		Adult, Female, Humans, Male, Multilingualism, Perceptual Masking, Phonetics, Practice (Psychology), Reaction Time, Reading, Regression Analysis, Semantics, Verbal Learning, Vocabulary	2008.JEP LMC/34_1_12.pdf	JEPLMC/JEPLMC-34-1-12.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-12.pdf	Kristin Lemhöfer, Ton Dijkstra, Herbert Schriefers, R Harald Baayen, Jonathan Grainger, Pienie Zwitserlood	NA	JEPLMC-34-1-12
4	Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.	S Farrell	10.1037/0278-7393.34.1.128	JEPLMC	34	1	128-45		Association Learning, Attention, Discrimination Learning, Humans, Memory, Short-Term, Pattern Recognition, Visual, Reading, Serial Learning, Speech Perception, Time Perception	2008.JEP LMC/34_1_128.pdf	JEPLMC/JEPLMC-34-1-128.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-128.pdf	Simon Farrell	NA	JEPLMC-34-1-128
5	Now you see it, now you don't: Repetition blindness for nonwords.	AL Morris, ML Still	10.1037/0278-7393.34.1.146	JEPLMC	34	1	146-66		Attentional Blink, Humans, Judgment, Memory, Short-Term, Pattern Recognition, Visual, Reading, Semantics, Serial Learning, Verbal Learning	2008.JEP LMC/34_1_146.pdf	JEPLMC/JEPLMC-34-1-146.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-146.pdf	Alison L Morris, Mary L Still	NA	JEPLMC-34-1-146
6	Decision making and learning while taking sequential risks.	TJ Pleskac	10.1037/0278-7393.34.1.167	JEPLMC	34	1	167-85		Adolescent, Adult, Association Learning, Bayes Theorem, Choice Behavior, Culture, Decision Making, Decision Theory, Female, Gambling [psychology], Health Behavior, Humans, Individuality, Male, Pattern Recognition, Visual, Psychomotor Performance, Risk-Taking, Stochastic Processes, Substance-Related Disorders [psychology]	2008.JEP LMC/34_1_167.pdf	JEPLMC/JEPLMC-34-1-167.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-167.pdf	Timothy J Pleskac	NA	JEPLMC-34-1-167
7	The ultimate sampling dilemma in experience-based decision making.	K Fiedler	10.1037/0278-7393.34.1.186	JEPLMC	34	1	186-203		Adult, Bias (Epidemiology), Choice Behavior, Cognition, Computer Simulation, Decision Making, Decision Theory, Feedback, Psychological, Female, Humans, Judgment, Male	2008.JEP LMC/34_1_186.pdf	JEPLMC/JEPLMC-34-1-186.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-186.pdf	Klaus Fiedler	NA	JEPLMC-34-1-186
8	Accounting for occurrences: A new view of the use of contingency information in causal judgment.	PA White	10.1037/0278-7393.34.1.204	JEPLMC	34	1	204-18		Association Learning, Causality, Humans, Judgment, Likelihood Functions, Probability Learning, Problem Solving	2008.JEP LMC/34_1_204.pdf	JEPLMC/JEPLMC-34-1-204.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-204.pdf	Peter A White	NA	JEPLMC-34-1-204
9	Modeling distributions of immediate memory effects: No strategies needed?	CP Beaman, I Neath, AM Surprenant	10.1037/0278-7393.34.1.219	JEPLMC	34	1	219-29		Attention, Humans, Individuality, Memory, Short-Term, Models, Statistical, Phonetics, Psychomotor Performance, Semantics, Serial Learning, Verbal Learning	2008.JEP LMC/34_1_219.pdf	JEPLMC/JEPLMC-34-1-219.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-219.pdf	C Philip Beaman, Ian Neath, Aimée M Surprenant	NA	JEPLMC-34-1-219
10	Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.	BC Storm, EL Bjork, RA Bjork	10.1037/0278-7393.34.1.230	JEPLMC	34	1	230-6		Attention, Cues, Humans, Memory, Short-Term, Mental Recall, Paired-Associate Learning, Practice (Psychology)	2008.JEP LMC/34_1_230.pdf	JEPLMC/JEPLMC-34-1-230.pdf	Reproducibility Papers/JEPLMC/JEPLMC-34-1-230.pdf	Benjamin C Storm, Elizabeth Ligon Bjork, Robert A Bjork	NA	JEPLMC-34-1-230
