WARNING	name	OSFid	stat.ori.string	stat.ori.type	stat.ori.ncp	stat.ori.ncp.CIL	stat.ori.ncp.CIU	stat.ori.p	stat.ori.p.recalc	stat.ori.N	stat.ori.N.recalc	stat.ori.df1	stat.ori.df2	prediction.ori	alpha.ori	ES.ori.type	ES.ori.value	ES.ori.value.recalc	ES.ori.r	ES.ori.r.CIL	ES.ori.r.CIU	ES.ori.d	ES.ori.d.CIL	ES.ori.d.CIU	aprioriPOW.ori	posthocPOW.ori	stat.rep.string	stat.rep.type	stat.rep.ncp	stat.rep.df1	stat.rep.df2	stat.rep.ncp.CIL	stat.rep.ncp.CIU	stat.rep.p	stat.rep.p.recalc	stat.rep.N	stat.rep.N.recalc	prediction.rep	alpha.rep	ES.rep.type	ES.rep.value	ES.rep.value.recalc	ES.rep.r	ES.rep.r.CIL	ES.rep.r.CIU	ES.rep.d	ES.rep.d.CIL	ES.rep.d.CIU	aprioriPOW.rep	posthocPOW.rep	ori.sig	rep.sig
MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.	https://osf.io/uhpyr/	F(1,31)=4.1	F	4.1	NA	16.2632292864534	0.0516	0.051569634441853	32	33	1	31	not equal	0.05	d	0.74	0	0.341773487574909	NA	0.58659951099032	0.72734603736084	NA	1.44861354344492	unknown	0.500838688625623	F1(1,90)=.97	F	.97	1	90	NA	8.68260879301467	0.33	0.327320512874555	91	92	not equal	0.05	η_p^2	0.011	0	0.103261105390926	NA	0.296622988288604	0.207632153365299	NA	0.621203448263116	93.5	0.163845258458349	Accept H0	Accept H0
MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Intentional forgetting is easier after two "shots" than one.	https://osf.io/bzdr2/	F(1,94)=4.97	F	4.97	NA	17.7174248161273	0.0282	0.0281724116090877	96	96	1	94	not equal	0.05	η^2	0.05	0	0.224092029190534	NA	0.398235380137302	0.459879725256645	NA	0.86829313650347	unknown	0.597394479208209	F(1,106)=0.04	F	0.04	1	106	NA	3.73896356234786	0.84	0.841863774866171	108	108	not equal	0.05	η_p^2	4.0E-4	0	0.0194220530544791	NA	0.184584482934228	0.0388514344942906	NA	0.375623434594941	0.916	0.0545118813239613	Reject H0	Accept H0
MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.	https://osf.io/xse7q/	F(1,90)=6.98	F	6.98	0.390950047155567	21.4591355049702	0.0097	0.00971976210017755	94	92	1	90	not equal	0.05	η^2	0.07	0	0.268278964521451	0.0657655050126933	0.438781467130343	0.556975961978811	0.131816378539841	0.976595799589807	unknown	0.743356102732561	F(1,142)=1.26	F	1.26	1	142	NA	9.51474076020719	0.26	0.263545465476018	146	144	not equal	0.05	η^2	0.01	0	0.0937827145210083	NA	0.250594212343759	0.188395747686828	NA	0.517707317395369	0.9	0.20009474276837	Reject H0	Accept H0
MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	The value of believing in free will: Encouraging a belief in determinism increases cheating.	https://osf.io/i29mh/	t(28)=3.04	t	3.04	0.902515190491109	5.1308112506361	0.0051	0.00254345224438357	30	29	28	NA	not equal	0.05	d	0.88	0	0.498149177998044	0.168131358726811	0.696121865161202	1.14901199794805	0.341118678356794	1.93926437045649	unknown	0.892332407500666	t(56)=-.77	t	-.77	56	NA	-2.73170916378498	1.19853405689674	0.44	0.22226801792009	58	57	not equal	0.05	d	0.2	0	0.102355162144048	0.342907337520447	0.158145360800961	-0.205791156272567	-0.730079983656724	0.320321700520558	0.91	0.228336485237114	Reject H0	Accept H0
MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Multidimensional visual statistical learning.	https://osf.io/ujhlw/	t(7)=2.892	t	2.892	0.370301098376512	5.28818695349758	0.0232	0.0116248942585828	8	8	7	NA	not equal	0.05	d	1.023	0	0.737820789760308	0.138609632635081	0.894315016605935	2.18614651188537	0.279921319005233	3.99749359010597	unknown	0.826693666195541	t(14)=3.708	t	3.708	14	NA	1.27781797292582	6.04938971022317	0.0020	0.00116998309649818	15	15	not equal	0.05	d	0.957	0	0.703904904378789	0.323184367521226	0.850466606736157	1.98200937002254	0.683022436764344	3.23353481353297	0.95	0.964747921849096	Reject H0	Reject H0
MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.	https://osf.io/swrhy/	F(4.09,159.5)=4.03	F	4.03	1.97660380770154	33.0178788639444	0.0040	0.00359115298217827	40	164.59	4.09	159.5	not equal	0.05	η_p^2	0.09	0	0.306040701520685	0.219636639662886	0.677114001237521	0.642930204337067	0.450268037860204	1.84028840968192	unknown	0.9097313545861	F(5,195)=2.54	F	2.54	5	195	NA	25.8252672485921	0.03	0.0297298439057336	40	201	not equal	0.05	η_p^2	0.061	0	0.247276936825489	NA	0.631175676629325	0.510404565528974	NA	1.62749665401498	0.95	0.782152727947357	Reject H0	Reject H0
MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Prescribed optimism: Is it right to be wrong about the future?	https://osf.io/qlzap/	t(124)=10.36	t	10.36	7.99981029465794	12.6904445087896	0.0010	0	127	125	124	NA	not equal	0.05	d	0.93	0	0.681152181666617	0.583450840217126	0.75165457684886	1.86071092899739	1.43680834412894	2.27927111885519	unknown	1	t(175)=15.64	t	15.64	175	NA	13.072547910139	18.1802502703667	0.0010	0	177	176	not equal	0.05	d	1.18	0	0.763508789343672	0.70289473739734	0.808593120404897	2.36454574314573	1.97638347269742	2.748595485046	>99%	1	Reject H0	Reject H0
MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	The threat of appearing prejudiced and race-based attentional biases.	https://osf.io/c5fza/	F(1,26)=4.17	F	4.17	NA	16.4853066259629	0.0514	0.0514116143724288	30	28	1	26	not equal	0.05	d	0.8	0	0.371775162736088	NA	0.622915498066439	0.800960961307392	NA	1.59254545284551	unknown	0.502611500347864	F(1,64)=.02	F	.02	1	64	NA	3.01992885876539	0.89	0.887981300920703	66	66	not equal	0.05	η^2	0	0	0.0176749080410067	NA	0.21227379043784	0.0353553390593274	NA	0.434448562746888	0.91	0.0522261775315944	Accept H0	Accept H0
MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.	https://osf.io/j8bpa/	F(2,82)=4.05	F	4.05	0.10048457769382	22.1855095431368	0.021	0.0210209102315673	85	85	2	82	not equal	0.05	η^2	0.09	0	0.299833472093746	0.0494454387233453	0.59255130351999	0.62858726619262	0.0990119863124837	1.47120357375449	unknown	0.706350580541144	F(2,137)=1.99	F	1.99	2	137	NA	14.3104192952282	0.14	0.140627311270678	140	140	not equal	0.05	η^2	0.03	0	0.168020697371943	NA	0.415703506250447	0.340887634803675	NA	0.914136161821145	0.9	0.405679249584765	Reject H0	Accept H0
MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Keeping one's distance: The influence of spatial distance cues on affect and evaluation.	https://osf.io/vnsqg/	F(2,81)=4.97	F	4.97	0.644280002238314	25.3883186609818	0.0092	0.00920593268365277	84	84	2	81	not equal	0.05	η^2	0.11	0	0.330609795734198	0.125136093294545	0.62074432480461	0.700617012019309	0.252255015438069	1.5835050561375	unknown	0.797461033527078	F(1,123)=0.35	F	0.35	1	123	NA	6.43515564572024	0.56	0.555198906584317	125	125	not equal	0.05	η^2	0.0030	0	0.0532677613388653	NA	0.222973577853902	0.106686989933816	NA	0.457464047037978	0.945	0.090315112393893	Reject H0	Accept H0
